cfg,is_net,is_trades_day,is_fills_day,is_volume,is_win_rate,is_max_dd,is_sharpe_h,is_bps_vol,oos_net,oos_trades_day,oos_fills_day,oos_volume,oos_win_rate,oos_max_dd,oos_sharpe_h,oos_bps_vol
"{""tp"": 6, ""sl"": 8, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""fund_tilt"": true}",-92.00052603051518,426.4989365513274,852.9978731026548,325591.9509716917,0.5638820638820639,92.00052603051518,-127.69001732454711,-2.8256388327767374,-36.97765537353189,285.3008807584008,571.3877143563565,145397.81089030704,0.5867768595041323,37.20740670376472,-93.66201126269873,-2.5432057846750573
"{""tp"": 10, ""sl"": 6, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""taker"", ""side"": ""both"", ""sticky_s"": 600, ""score_thr"": 0.35, ""regime"": null}",-97.1902647472125,423.3552097462808,847.2343739600694,323395.0640970686,0.3910891089108911,97.1902647472125,-132.73111140371887,-3.005310703135542,-37.034395623131786,282.9430222397364,565.8860444794727,144001.28838155456,0.4388888888888889,37.27790596824889,-83.90008939801342,-2.571810019157829
"{""tp"": 8, ""sl"": 4, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""taker"", ""side"": ""both"", ""sticky_s"": 600, ""score_thr"": 0.6, ""regime"": [""no_chase"", 0.2]}",-99.80059597272702,439.073843771514,878.6716420105358,335400.453222599,0.373508353221957,99.80059597272702,-126.5094244403712,-2.9755653283655894,-37.09194245029357,275.869446683743,552.5248462070407,140602.89915143323,0.4074074074074074,37.33524704187403,-87.88218096726426,-2.6380638432173806
"{""tp"": 12, ""sl"": 4, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""taker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.35, ""regime"": null}",-100.44263445924662,453.22061439422384,906.4412287884476,345995.3642124558,0.2936416184971098,100.44263445924662,-114.05731236777495,-2.9030052089822393,-37.1096827154397,282.1570694001815,565.1000916399179,143800.85312009972,0.3286908077994429,37.41381954864664,-80.43992603691953,-2.5806302195193798
"{""tp"": 1000000.0, ""sl"": 10, ""trail_act"": 8, ""trail_dist"": 4, ""max_hold_s"": 120, ""entry_exec"": ""taker"", ""tp_exec"": ""taker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-91.89532377807882,420.2114829412342,840.4229658824684,320798.36937367,0.2094763092269326,91.89532377807882,-163.98660269106716,-2.864582010111092,-37.18919327416916,275.0834938441881,550.1669876883763,140000.19625150162,0.2171428571428571,37.349638227833566,-123.78245587858518,-2.6563672244688212
"{""tp"": 1000000.0, ""sl"": 10, ""trail_act"": 8, ""trail_dist"": 4, ""max_hold_s"": 120, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-91.89532377807882,420.2114829412342,840.4229658824684,320798.36937367,0.2094763092269326,91.89532377807882,-163.98660269106716,-2.864582010111092,-37.18919327416916,275.0834938441881,550.1669876883763,140000.19625150162,0.2171428571428571,37.349638227833566,-123.78245587858518,-2.6563672244688212
"{""tp"": 6, ""sl"": 8, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 0, ""score_thr"": 0.35, ""regime"": null}",-91.5175087967,431.7384812264052,863.4769624528103,329591.5917958065,0.5728155339805825,91.5175087967,-119.30405512981534,-2.7766942808843953,-37.23291506146961,293.1604091539491,587.106771147453,149397.0937174664,0.5951742627345844,37.46268734757177,-90.00876656048233,-2.492211470450888
"{""tp"": 8, ""sl"": 6, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 600, ""score_thr"": 0.6, ""regime"": null}",-100.14601650449733,454.2685233292394,909.0610011259864,346986.2140666209,0.4429065743944637,100.21489935442514,-120.82612098720448,-2.886167013115669,-37.35477564764187,286.08683359795566,572.9596200354661,145799.67705266108,0.4752747252747252,37.59153007502573,-86.04722901126974,-2.562061617883405
"{""tp"": 1000000.0, ""sl"": 6, ""trail_act"": 6, ""trail_dist"": 3, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.35, ""regime"": null}",-98.51290673621588,449.0289786541617,898.5819117758313,342996.18950698525,0.2427071178529755,98.51290673621588,-140.28786251359844,-2.8721283136648266,-37.37357406312731,280.58516372107186,561.1703274421437,142801.39792665036,0.2549019607843137,37.53283670998644,-95.39975205439988,-2.6171714427000334
"{""tp"": 1000000.0, ""sl"": 6, ""trail_act"": 6, ""trail_dist"": 3, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""taker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.35, ""regime"": null}",-98.51290673621588,449.0289786541617,898.5819117758313,342996.18950698525,0.2427071178529755,98.51290673621588,-140.28786251359844,-2.8721283136648266,-37.37357406312731,280.58516372107186,561.1703274421437,142801.39792665036,0.2549019607843137,37.53283670998644,-95.39975205439988,-2.6171714427000334
"{""tp"": 10, ""sl"": 4, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""long"", ""sticky_s"": 120, ""score_thr"": 0.35, ""regime"": null}",-97.29933295654882,434.8822080314518,869.7644160629036,331991.5674172703,0.3228915662650602,97.29933295654882,-112.47605140187208,-2.9307772397199536,-37.37797447680896,281.3711165606267,562.7422331212534,143200.45704263583,0.3575418994413408,37.67793447680742,-81.43605406107703,-2.610185417612195
"{""tp"": 8, ""sl"": 6, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 30, ""score_thr"": 0.35, ""regime"": null}",-96.26306111616395,447.98106971914615,896.4860939058001,342189.2315160914,0.4549707602339181,96.26306111616395,-108.4549285860675,-2.8131528479041923,-37.401864875108,288.4446921166201,576.8893842332402,146799.12699977087,0.4822888283378747,37.640958053689246,-84.08278919464304,-2.5478261103805044
"{""tp"": 1000000.0, ""sl"": 10, ""trail_act"": 6, ""trail_dist"": 3, ""max_hold_s"": 120, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-98.24213846943894,440.1217527065296,880.2435054130592,335997.5255521857,0.2,98.24213846943894,-152.7385470472265,-2.9238947015453656,-37.44040875153587,284.514927918846,569.029855837692,144801.47164633422,0.223756906077348,37.60085370520028,-129.96033073788234,-2.585637309196761
"{""tp"": 1000000.0, ""sl"": 10, ""trail_act"": 6, ""trail_dist"": 3, ""max_hold_s"": 120, ""entry_exec"": ""taker"", ""tp_exec"": ""taker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-98.24213846943894,440.1217527065296,880.2435054130592,335997.5255521857,0.2,98.24213846943894,-152.7385470472265,-2.9238947015453656,-37.44040875153587,284.514927918846,569.029855837692,144801.47164633422,0.223756906077348,37.60085370520028,-129.96033073788234,-2.585637309196761
